timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles,vm_peak,vm_size
1465317780.986198,0.000133,0,           0,           0,           0,           0,1,461987,462265,0,4,96,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.086515,0.000215,0,           0,           0,           0,           0,1,463744,464027,0,5,120,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.186765,0.000159,0,           0,           0,           0,           0,1,465501,465788,0,6,144,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.286993,0.000193,0,           0,           0,           0,           0,1,467262,467549,0,7,168,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.387328,0.000243,0,           0,           0,           0,           0,1,469018,469303,0,8,192,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.487615,0.000203,0,           0,           0,           0,           0,1,470778,471066,0,9,216,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.587876,0.000178,0,           0,           0,           0,           0,1,472523,472851,0,10,240,1712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.688098,0.000148,0,           0,           0,           0,           0,1,474286,474613,0,11,264,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.788345,0.000176,0,           0,           0,           0,           0,1,476050,476377,0,12,288,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.888576,0.000153,0,           0,           0,           0,           0,1,477807,478140,0,13,312,2432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317781.988860,0.000202,0,           0,           0,           0,           0,1,479569,479904,0,14,336,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.089105,0.000166,0,           0,           0,           0,           0,1,481327,481660,0,15,360,2912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.189403,0.000216,0,           0,           0,           0,           0,1,483086,483418,0,16,384,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.289697,0.000211,0,           0,           0,           0,           0,1,484849,485223,0,17,408,3392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.389967,0.000190,0,           0,           0,           0,           0,1,486620,486988,0,18,432,3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.490270,0.000219,0,           0,           0,           0,           0,1,488382,488751,0,19,456,3872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637200,571668
1465317782.590738,0.000204,0,          11,           2,           3,           0,5,489891,490261,6,48,291592,4862,1,13760,1,1,0,0,0,0,0,0,0,0,0,4,703008,703008
1465317782.691007,0.000175,0,         292,           4,          12,       44500,188,489918,490261,6,513,10954616,16238,28,3965456,1,1,0,0,0,0,0,0,0,0,0,6,709460,709460
1465317782.791730,0.000636,0,         489,           5,           4,       19000,381,489935,490262,6,904,19957552,25838,45,8166580,1,4,0,3,0,1,0,0,0,0,0,6,714044,714044
1465317782.894878,0.003057,0,         690,           0,           4,       47000,492,490009,490262,6,1217,27142312,33566,71,11252436,1,4,0,3,0,1,0,0,0,0,0,6,718228,718228
1465317782.998378,0.003400,0,         950,          21,           4,       90500,668,490041,490262,6,1654,37160552,44270,97,14798852,1,4,0,3,0,1,0,0,0,0,0,6,724596,724596
1465317783.099970,0.001502,0,        1135,           0,           4,      125969,809,490253,490262,6,1981,44645712,52334,121,18415380,1,4,0,3,0,1,0,0,0,0,0,6,728428,728428
1465317783.201058,0.001001,0,        1243,           7,           4,      172107,995,490280,490262,6,2276,51459952,59630,148,22468416,1,4,0,3,0,1,0,0,0,0,0,6,731048,731048
1465317783.301652,0.000482,0,        1335,           0,           7,      226337,1211,490310,490262,6,2585,58552600,67262,178,27580752,2,6,0,6,0,1,0,0,0,0,0,6,733032,733032
1465317783.403127,0.001385,0,        1390,           3,           7,      283072,1440,490338,490262,6,2870,65092576,74318,206,32807184,2,6,0,6,0,1,0,0,0,0,0,6,734468,734468
1465317783.503370,0.000156,0,        1476,           6,           4,       47000,1642,490372,490263,6,3159,71724664,81470,233,37517036,2,6,0,6,3,2,0,0,0,0,0,6,736164,736164
1465317783.603921,0.000465,0,        1526,           1,           4,      105500,1874,490401,490263,6,3442,78196592,88478,262,42859648,2,6,0,6,3,2,0,0,0,0,0,6,737304,737304
1465317783.704259,0.000250,0,        1744,           2,           4,      137617,2004,490431,490263,6,3791,86232352,97070,283,45899428,2,6,0,6,3,2,0,0,0,0,0,6,742160,742160
1465317783.804768,0.000420,0,        1893,           4,           4,      171000,2139,490457,490263,6,4076,92772328,104126,309,48997316,2,6,0,6,3,2,0,0,0,0,0,6,745572,745572
1465317783.905351,0.000494,0,        2114,           2,           4,      197500,2243,490516,490263,6,4402,100245456,112166,335,51414324,2,6,0,6,3,2,0,0,0,0,0,6,750536,750536
1465317784.006879,0.001443,0,        2241,           3,           4,      237000,2403,490541,490263,6,4690,106843520,119294,360,55006792,2,6,0,6,3,2,0,0,0,0,0,6,753500,753500
1465317784.108352,0.001437,0,        2232,           1,           4,      293500,2628,490572,490263,6,4907,111839584,124718,391,60245268,2,6,0,6,3,2,0,0,0,0,0,6,753636,753636
1465317784.208669,0.000229,0,        2288,           0,           4,      339361,2812,490602,490263,6,5148,117366328,130718,421,64460548,2,6,0,6,3,2,0,0,0,0,0,6,754520,754520
1465317784.308938,0.000185,0,        2288,           9,           4,      394115,3029,490631,490263,6,5366,122374424,136166,450,69272480,2,6,0,6,3,2,0,0,0,0,0,6,755496,755496
1465317784.409233,0.000208,0,        2356,           6,           4,      452721,3264,490658,490263,6,5670,129318944,143678,477,74765284,2,6,0,6,3,2,0,0,0,0,0,6,756056,756056
1465317784.510166,0.000846,0,        2412,           1,           4,      512000,3504,490687,490263,6,5967,136157248,151022,506,80408296,2,6,0,6,3,2,0,0,0,0,0,6,757328,757328
