timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232378.752130,0.000123,0,           0,           0,           0,           0,1,989174,989866,0,2,48,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232378.852383,0.000167,0,           0,           0,           0,           0,1,990954,991625,0,3,72,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232378.952544,0.000123,0,           0,           0,           0,           0,1,992713,993382,0,4,96,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.052676,0.000113,0,           0,           0,           0,           0,1,994470,995162,0,5,120,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.152843,0.000103,0,           0,           0,           0,           0,1,996227,996920,0,6,144,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.253044,0.000136,0,           0,           0,           0,           0,1,997978,998673,0,7,168,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.353208,0.000131,0,           0,           0,           0,           0,1,999754,1000429,0,8,192,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.453398,0.000127,0,           0,           0,           0,           0,1,1001543,1002189,0,9,216,1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.553597,0.000164,0,           0,           0,           0,           0,1,1003313,1003974,0,10,240,1808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.653791,0.000133,0,           0,           0,           0,           0,1,1005074,1005731,0,11,264,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.753927,0.000116,0,           0,           0,           0,           0,1,1006842,1007488,0,12,288,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.854068,0.000111,0,           0,           0,           0,           0,1,1008602,1009244,0,13,312,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232379.954294,0.000156,0,           0,           0,           0,           0,1,1010382,1011060,0,14,336,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.054476,0.000132,0,           0,           0,           0,           0,1,1012145,1012816,0,15,360,2928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.154611,0.000093,0,           0,           0,           0,           0,1,1013901,1014572,0,16,384,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.254768,0.000115,0,           0,           0,           0,           0,1,1015659,1016332,0,17,408,3376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.354930,0.000100,0,           0,           0,           0,           0,1,1017416,1018089,0,18,432,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.455118,0.000171,0,           0,           0,           0,           0,1,1019173,1019857,0,19,456,3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.555336,0.000169,0,           0,           0,           0,           0,1,1020922,1021654,0,20,480,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.655517,0.000119,0,           0,           0,           0,           0,1,1022680,1023427,0,21,504,4272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.755694,0.000125,0,           0,           0,           0,           0,1,1024452,1025190,0,22,528,4496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.855933,0.000211,0,           0,           0,           0,           0,1,1026214,1026957,0,23,552,4720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232380.956080,0.000121,0,           0,           0,           0,           0,1,1027965,1028713,0,24,576,4944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1465232381.056250,0.000111,0,         232,           1,           8,       41018,172,1028217,1028907,4,437,9267016,15108,23,3637524,1,1,0,0,0,0,0,0,0,0,0,4
1465232381.156521,0.000199,0,           0,           0,           0,           0,405,1028624,1028908,4,438,9267040,15332,47,9266412,1,4,0,1,0,1,0,0,0,0,0,4
1465232381.256748,0.000157,0,           0,           0,           0,           0,405,1030334,1028908,4,439,9267064,15556,47,9266412,1,4,0,1,0,1,0,0,0,0,0,4
1465232381.356918,0.000131,0,           0,           0,           0,           0,405,1032110,1028908,4,440,9267088,15780,47,9266412,1,4,0,1,0,1,0,0,0,0,0,4
1465232381.457193,0.000207,0,           0,           0,           0,           0,405,1033833,1028908,4,441,9267112,16004,47,9266412,1,4,0,1,0,1,0,0,0,0,0,4
1465232381.557374,0.000109,0,          28,           7,           4,        6500,431,1035289,1028908,4,497,10500688,17548,50,9704992,2,4,0,4,0,1,0,0,0,0,0,4
1465232381.657627,0.000170,0,         108,           9,           5,       72500,696,1035315,1028908,4,843,18478360,26052,75,15474124,2,4,0,4,0,1,0,0,0,0,0,4
1465232381.757862,0.000164,0,           0,           0,           5,      100000,805,1036499,1028908,4,844,18478384,26276,86,18477768,2,4,0,4,0,1,0,0,0,0,0,4
1465232381.858104,0.000165,0,           0,           0,           0,           0,805,1038260,1028909,4,845,18478408,26500,86,18477768,2,4,0,4,1,2,0,0,0,0,0,4
1465232381.958332,0.000162,0,           0,           0,           0,           0,805,1040016,1028909,4,846,18478432,26724,86,18477768,2,4,0,4,1,2,0,0,0,0,0,4
1465232382.058567,0.000156,0,           0,           0,           0,           0,805,1041761,1028909,4,847,18478456,26948,86,18477768,2,4,0,4,1,2,0,0,0,0,0,4
1465232382.158749,0.000110,0,          60,           1,           2,        3500,820,1043137,1028909,4,924,20228608,28996,92,18766160,2,4,0,4,1,2,0,0,0,0,0,4
1465232382.258947,0.000128,0,         166,           5,           5,       51000,1011,1043166,1028909,4,1222,27056952,36348,121,22901356,3,4,0,4,4,2,0,0,0,0,0,4
1465232382.359208,0.000182,0,           0,           0,           5,      100000,1205,1043677,1028909,4,1250,27689728,37220,143,27689196,3,4,0,4,4,2,0,0,0,0,0,4
1465232382.459443,0.000192,0,           0,           0,           0,           0,1205,1045386,1028910,4,1251,27689752,37444,143,27689196,3,4,0,4,4,3,0,0,0,0,0,4
1465232382.559749,0.000231,0,           0,           0,           0,           0,1205,1047111,1028910,4,1252,27689776,37668,143,27689196,3,4,0,4,4,3,0,0,0,0,0,4
1465232382.659960,0.000138,0,           0,           0,           0,           0,1205,1048812,1028910,4,1253,27689800,37892,143,27689196,3,4,0,4,4,3,0,0,0,0,0,4
1465232382.760233,0.000198,0,           0,           0,           1,        1279,1210,1050507,1028910,4,1260,27827992,38260,144,27701232,3,4,0,4,4,3,0,0,0,0,0,4
1465232382.860494,0.000187,0,         246,           0,           1,       38355,1358,1050719,1028910,4,1655,36901048,47940,162,30983312,3,4,0,4,4,3,0,0,0,0,0,4
1465232382.960744,0.000174,0,           0,           0,           1,      100000,1605,1050879,1028910,4,1656,36901072,48164,189,36900580,3,4,0,4,4,3,0,0,0,0,0,4
1465232383.060980,0.000169,0,           0,           0,           1,      100000,1605,1052612,1028910,8,1661,36901192,48568,189,36900580,4,4,0,4,8,3,0,0,0,0,0,4
1465232383.161218,0.000187,0,           0,           0,           1,      100000,1605,1054333,1028910,8,1662,36901216,48792,189,36900580,4,4,0,4,8,3,0,0,0,0,0,4
1465232383.261501,0.000211,0,           0,           0,           0,           0,1605,1056087,1028911,8,1663,36901240,49016,189,36900580,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.361676,0.000101,0,          32,           2,           5,        8030,1640,1057489,1028911,8,1732,38445176,50872,194,37431280,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.462134,0.000388,0,         101,           2,           5,       66052,1870,1057519,1028911,8,2032,45341568,58272,224,42635728,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.562372,0.000167,0,           0,           0,           5,      100000,2005,1058283,1028911,8,2066,46112512,59288,239,46111980,4,4,0,4,8,4,0,0,0,0,0,4
1465232383.662609,0.000171,0,           0,           0,           5,      100000,2005,1060029,1028911,8,2067,46112536,59512,239,46111980,5,4,0,4,8,4,0,0,0,0,0,4
